GIS_ST_NAME,GIS_ST_ABBR,GIS_PC_NAME,ST_CODE,PC_CODE,PC_ID,DISTRICT,GIS_Dist_code,AREA_GEO,Tot_area,Pct_Area,POP,Tot_pop,Pct_pop
Rajasthan,RJ,Chittaurgarh,S20,21,S20_21,Banswara,125,4505.022968,4505.022968,1,,1643229.123,
Rajasthan,MP,Mandsaur,S12,23,S12_23,Chittaurgarh,126,1.23844525,7643.62268,0.000162023,265.6300792,1860423.685,0.000142779
Rajasthan,RJ,Udaipur,S20,19,S20_19,Chittaurgarh,126,9.780369451,7643.62268,0.001279546,612.5609604,1860423.685,0.000329259
Rajasthan,RJ,Chittaurgarh,S20,21,S20_21,Chittaurgarh,126,7630.930014,7643.62268,0.998339444,1858515.555,1860423.685,0.998974357
Rajasthan,RJ,Rajsamand,S20,22,S20_22,Chittaurgarh,126,1.672441876,7643.62268,0.000218802,450.8225615,1860423.685,0.000242323
Rajasthan,RJ,Kota,S20,24,S20_24,Kota,127,5508.936128,5509.139741,0.999963041,2028255.263,2028960.989,0.999652174
Rajasthan,RJ,Jhalawar - Baran,S20,25,S20_25,Baran,128,6818.643847,6818.806873,0.999976092,1268655.97,1268655.97,1
Rajasthan,RJ,Jhalawar - Baran,S20,25,S20_25,Jhalawar,129,6254.800236,6254.802573,0.999999626,1456604.615,1457222.178,0.999576205
Rajasthan,RJ,Jalore,S20,18,S20_18,Udaipur,130,18.31842242,11915.0604,0.001537418,1478.593461,3020097.146,0.000489585
Rajasthan,RJ,Udaipur,S20,19,S20_19,Udaipur,130,9717.067305,11915.0604,0.815528162,2418488.806,3020097.146,0.800798348
Rajasthan,RJ,Banswara,S20,20,S20_20,Udaipur,130,14.69866202,11915.0604,0.00123362,3599.472892,3020097.146,0.00119184
Rajasthan,RJ,Chittaurgarh,S20,21,S20_21,Udaipur,130,2118.587363,11915.0604,0.177807522,585351.3943,3020097.146,0.19381873
Rajasthan,RJ,Rajsamand,S20,22,S20_22,Udaipur,130,46.38819362,11915.0604,0.00389324,11622.51737,3020097.146,0.003848392
Rajasthan,MP,Mandsaur,S12,23,S12_23,Pratapgarh,131,4306.485389,4306.485389,1,,1004683.541,
Rajasthan,RJ,Udaipur,S20,19,S20_19,Pratapgarh,131,604.812462,4306.485389,0.140442242,129609.7841,1004683.541,0.129005581
Rajasthan,RJ,Banswara,S20,20,S20_20,Pratapgarh,131,558.4161925,4306.485389,0.129668661,220275.9568,1004683.541,0.219249095
Rajasthan,RJ,Chittaurgarh,S20,21,S20_21,Pratapgarh,131,3143.255509,4306.485389,0.729888813,655078.2444,1004683.541,0.652024461
Uttar Pradesh,UP,Saharanpur,S24,1,S24_1,Saharanpur,132,2414.673535,3724.065414,0.648397186,2321122.054,3598791.219,0.64497269
Uttar Pradesh,UP,Kairana,S24,2,S24_2,Saharanpur,132,1309.391607,3724.065414,0.351602741,1278688.64,3598791.219,0.355310592
Uttar Pradesh,UP,Kairana,S24,2,S24_2,Muzaffarnagar,133,1348.848113,4052.662979,0.332830072,1368953.211,4315452.285,0.31722126
Uttar Pradesh,UP,Muzaffarnagar,S24,3,S24_3,Muzaffarnagar,133,1585.636236,4052.662979,0.391257858,1864379.823,4315452.285,0.432024201
Uttar Pradesh,UP,Bijnor,S24,4,S24_4,Muzaffarnagar,133,1118.178467,4052.662979,0.275912029,1082803.581,4315452.285,0.250913116
Uttar Pradesh,UP,Bijnor,S24,4,S24_4,Bijnor,134,1252.726169,4317.301648,0.290164151,1161417.092,3864179.879,0.30055979
Uttar Pradesh,UP,Nagina,S24,5,S24_5,Bijnor,134,1774.786788,4317.301648,0.411087048,1673112.053,3864179.879,0.432979857
Uttar Pradesh,UP,Moradabad,S24,6,S24_6,Bijnor,134,1289.788354,4317.301648,0.298748723,1029966.528,3864179.879,0.266542076
Uttar Pradesh,UP,Moradabad,S24,6,S24_6,Moradabad,135,1359.24309,3624.512352,0.375014059,2093715.843,5118198.383,0.409072819
Uttar Pradesh,UP,Sambhal,S24,8,S24_8,Moradabad,135,2248.169403,3624.512352,0.620268104,3007199.331,5118198.383,0.587550366
Uttar Pradesh,UP,Amroha,S24,9,S24_9,Moradabad,135,17.09954461,3624.512352,0.00471775,16283.76829,5118198.383,0.003181543
Uttar Pradesh,UP,Rampur,S24,7,S24_7,Rampur,136,2571.811652,2571.811959,0.999999881,2442928.975,2442928.975,1
Uttar Pradesh,UP,Bijnor,S24,4,S24_4,Jyotiba Phule Nagar,137,19.34121902,2272.11976,0.008512412,12374.34257,1760529.993,0.00702876
Uttar Pradesh,UP,Moradabad,S24,6,S24_6,Jyotiba Phule Nagar,137,6.818840852,2272.11976,0.003001092,4936.63236,1760529.993,0.00280406
Uttar Pradesh,UP,Sambhal,S24,8,S24_8,Jyotiba Phule Nagar,137,43.91801626,2272.11976,0.019329094,55000.11423,1760529.993,0.031240657
Uttar Pradesh,UP,Amroha,S24,9,S24_9,Jyotiba Phule Nagar,137,2202.041522,2272.11976,0.969157331,1688728.219,1760529.993,0.959215819
